	Symbol_hg	Symbol_mm	ID
76	GLRA1	Glra1	GLRA1_Glra1
77	PDGFRA	Pdgfra	PDGFRA_Pdgfra
78	PCDHGB4	Pcdhgb4	PCDHGB4_Pcdhgb4
79	SFXN5	Sfxn5	SFXN5_Sfxn5
80	GANC	Ganc	GANC_Ganc
81	KCNH1	Kcnh1	KCNH1_Kcnh1
82	APOO	Apoo	APOO_Apoo
83	SCAF11	Scaf11	SCAF11_Scaf11
84	ZCWPW1	Zcwpw1	ZCWPW1_Zcwpw1
85	EHD1	Ehd1	EHD1_Ehd1
86	DPYSL4	Dpysl4	DPYSL4_Dpysl4
87	HADHB	Hadhb	HADHB_Hadhb
88	HGSNAT	Hgsnat	HGSNAT_Hgsnat
89	VIPR2	Vipr2	VIPR2_Vipr2
90	MMP25	Mmp25	MMP25_Mmp25
91	ASPN	Aspn	ASPN_Aspn
92	HOXD12	Hoxd12	HOXD12_Hoxd12
93	FRMD7	Frmd7	FRMD7_Frmd7
94	PRKCI	Prkci	PRKCI_Prkci
95	SHC3	Shc3	SHC3_Shc3
96	PGGHG	Pgghg	PGGHG_Pgghg
97	EIF1AD	Eif1ad	EIF1AD_Eif1ad
98	DTNB	Dtnb	DTNB_Dtnb
99	G6PC1	G6pc	G6PC1_G6pc
100	NFKBID	Nfkbid	NFKBID_Nfkbid
101	MAP2K3	Map2k3	MAP2K3_Map2k3
102	NPTX1	Nptx1	NPTX1_Nptx1
103	CUX1	Cux1	CUX1_Cux1
104	MRPL39	Mrpl39	MRPL39_Mrpl39
105	SMIM20	Smim20	SMIM20_Smim20
106	TGS1	Tgs1	TGS1_Tgs1
107	C3orf22	BC048671	C3orf22_BC048671
108	WIPF1	Wipf1	WIPF1_Wipf1
109	CROCC	Crocc	CROCC_Crocc
110	PCDHA6	Pcdha6	PCDHA6_Pcdha6
111	KLHL40	Klhl40	KLHL40_Klhl40
112	CIART	Ciart	CIART_Ciart
113	CCDC107	Ccdc107	CCDC107_Ccdc107
114	CHD4	Chd4	CHD4_Chd4
115	ZIC4	Zic4	ZIC4_Zic4
116	LRRC8A	Lrrc8a	LRRC8A_Lrrc8a
117	MTMR3	Mtmr3	MTMR3_Mtmr3
118	PAM	Pam	PAM_Pam
119	MELK	Melk	MELK_Melk
120	CREB3L1	Creb3l1	CREB3L1_Creb3l1
121	ABCG4	Abcg4	ABCG4_Abcg4
122	GCNT2	Gcnt2	GCNT2_Gcnt2
123	GSDMA	Gsdma	GSDMA_Gsdma
124	MRPL14	Mrpl14	MRPL14_Mrpl14
125	AQP11	Aqp11	AQP11_Aqp11
126	KRTAP26-1	Krtap26-1	KRTAP26-1_Krtap26-1
127	FOXP3	Foxp3	FOXP3_Foxp3
128	NTNG1	Ntng1	NTNG1_Ntng1
129	TADA2A	Tada2a	TADA2A_Tada2a
130	DLL1	Dll1	DLL1_Dll1
131	THUMPD1	Thumpd1	THUMPD1_Thumpd1
132	DPP3	Dpp3	DPP3_Dpp3
133	DLX4	Dlx4	DLX4_Dlx4
134	MNS1	Mns1	MNS1_Mns1
135	ARL5A	Arl5a	ARL5A_Arl5a
136	HTR1B	Htr1b	HTR1B_Htr1b
137	NANOG	Nanog	NANOG_Nanog
138	AMDHD2	Amdhd2	AMDHD2_Amdhd2
139	MAMLD1	Mamld1	MAMLD1_Mamld1
140	MRPL36	Mrpl36	MRPL36_Mrpl36
141	FNDC4	Fndc4	FNDC4_Fndc4
142	BBS1	Bbs1	BBS1_Bbs1
143	PPM1A	Ppm1a	PPM1A_Ppm1a
144	PDE3A	Pde3a	PDE3A_Pde3a
145	GINS3	Gins3	GINS3_Gins3
146	RPL10L	Rpl10l	RPL10L_Rpl10l
147	SLC10A1	Slc10a1	SLC10A1_Slc10a1
148	NOXA1	Noxa1	NOXA1_Noxa1
149	FAM171A2	Fam171a2	FAM171A2_Fam171a2
150	TMEM150C	Tmem150c	TMEM150C_Tmem150c
151	GPX1	Gpx1	GPX1_Gpx1
152	AAAS	Aaas	AAAS_Aaas
153	NFKBIE	Nfkbie	NFKBIE_Nfkbie
154	SMTNL1	Smtnl1	SMTNL1_Smtnl1
155	TACR1	Tacr1	TACR1_Tacr1
156	U2AF1L4	U2af1l4	U2AF1L4_U2af1l4
157	LINGO2	Lingo2	LINGO2_Lingo2
158	METTL23	Mettl23	METTL23_Mettl23
159	SLC43A2	Slc43a2	SLC43A2_Slc43a2
160	HRH4	Hrh4	HRH4_Hrh4
161	MMAA	Mmaa	MMAA_Mmaa
162	FAM181A	Fam181a	FAM181A_Fam181a
163	FPR2	Fpr2	FPR2_Fpr2
164	FIBCD1	Fibcd1	FIBCD1_Fibcd1
165	NPHP1	Nphp1	NPHP1_Nphp1
166	TULP4	Tulp4	TULP4_Tulp4
167	LAMTOR4	Lamtor4	LAMTOR4_Lamtor4
168	DHX30	Dhx30	DHX30_Dhx30
169	GABRB2	Gabrb2	GABRB2_Gabrb2
170	SNX18	Snx18	SNX18_Snx18
171	C1orf54	BC028528	C1orf54_BC028528
172	SPATA4	Spata4	SPATA4_Spata4
173	SLC25A42	Slc25a42	SLC25A42_Slc25a42
174	GPHN	Gphn	GPHN_Gphn
175	SHC1	Shc1	SHC1_Shc1
176	MRPS24	Mrps24	MRPS24_Mrps24
177	WNT8B	Wnt8b	WNT8B_Wnt8b
178	EPHA4	Epha4	EPHA4_Epha4
179	KLHDC8A	Klhdc8a	KLHDC8A_Klhdc8a
180	MOCOS	Mocos	MOCOS_Mocos
181	CLEC1B	Clec1b	CLEC1B_Clec1b
182	IGHMBP2	Ighmbp2	IGHMBP2_Ighmbp2
183	APOA5	Apoa5	APOA5_Apoa5
184	VILL	Vill	VILL_Vill
185	TPM3	Tpm3	TPM3_Tpm3
186	CHRNA2	Chrna2	CHRNA2_Chrna2
187	CD5L	Cd5l	CD5L_Cd5l
188	RPP40	Rpp40	RPP40_Rpp40
189	SMIM17	Smim17	SMIM17_Smim17
190	TAPBPL	Tapbpl	TAPBPL_Tapbpl
191	C3AR1	C3ar1	C3AR1_C3ar1
192	WDR70	Wdr70	WDR70_Wdr70
193	TRPA1	Trpa1	TRPA1_Trpa1
194	PRR5	Prr5	PRR5_Prr5
195	MTA1	Mta1	MTA1_Mta1
196	WFDC3	Wfdc3	WFDC3_Wfdc3
197	AP3B2	Ap3b2	AP3B2_Ap3b2
198	TPD52L1	Tpd52l1	TPD52L1_Tpd52l1
199	A2M	A2m	A2M_A2m
200	FRMPD1	Frmpd1	FRMPD1_Frmpd1
201	GNG4	Gng4	GNG4_Gng4
202	MTG1	Mtg1	MTG1_Mtg1
203	FOXA3	Foxa3	FOXA3_Foxa3
204	NRN1L	Nrn1l	NRN1L_Nrn1l
205	MTREX	Mtrex	MTREX_Mtrex
206	PDCD6IP	Pdcd6ip	PDCD6IP_Pdcd6ip
207	RGR	Rgr	RGR_Rgr
208	IGFBP3	Igfbp3	IGFBP3_Igfbp3
209	CARD14	Card14	CARD14_Card14
210	PRDM2	Prdm2	PRDM2_Prdm2
211	SLC35G2	Slc35g2	SLC35G2_Slc35g2
212	ARL10	Arl10	ARL10_Arl10
213	FGR	Fgr	FGR_Fgr
214	NADK2	Nadk2	NADK2_Nadk2
215	HMGCLL1	Hmgcll1	HMGCLL1_Hmgcll1
216	UROD	Urod	UROD_Urod
217	ZNF7	Zfp7	ZNF7_Zfp7
218	TAPBP	Tapbp	TAPBP_Tapbp
219	OR5B12	Olfr1445	OR5B12_Olfr1445
220	GPR108	Gpr108	GPR108_Gpr108
221	CXCL3	Cxcl2	CXCL3_Cxcl2
222	RAB32	Rab32	RAB32_Rab32
223	NPAS3	Npas3	NPAS3_Npas3
224	HSBP1	Hsbp1	HSBP1_Hsbp1
225	RFESD	Rfesd	RFESD_Rfesd
226	SLC38A6	Slc38a6	SLC38A6_Slc38a6
227	CAPZB	Capzb	CAPZB_Capzb
228	FAM229A	Fam229a	FAM229A_Fam229a
229	CHIC1	Chic1	CHIC1_Chic1
230	ZFAND6	Zfand6	ZFAND6_Zfand6
231	TIAM1	Tiam1	TIAM1_Tiam1
232	CCNB3	Ccnb3	CCNB3_Ccnb3
233	XKR6	Xkr6	XKR6_Xkr6
234	HPSE2	Hpse2	HPSE2_Hpse2
235	BNIP5	Bnip5	BNIP5_Bnip5
236	ASB8	Asb8	ASB8_Asb8
237	MARVELD1	Marveld1	MARVELD1_Marveld1
238	PER3	Per3	PER3_Per3
239	KLF12	Klf12	KLF12_Klf12
240	DRC3	Drc3	DRC3_Drc3
241	MLPH	Mlph	MLPH_Mlph
242	ATP5F1E	Atp5e	ATP5F1E_Atp5e
243	ELAVL4	Elavl4	ELAVL4_Elavl4
244	VPS9D1	Vps9d1	VPS9D1_Vps9d1
245	SMARCC1	Smarcc1	SMARCC1_Smarcc1
246	KCNV2	Kcnv2	KCNV2_Kcnv2
247	SHISAL2A	Shisal2a	SHISAL2A_Shisal2a
248	NME6	Nme6	NME6_Nme6
249	OR4L1	Olfr723	OR4L1_Olfr723
250	HGD	Hgd	HGD_Hgd
251	ING1	Ing1	ING1_Ing1
252	AKAP10	Akap10	AKAP10_Akap10
253	B3GNT7	B3gnt7	B3GNT7_B3gnt7
254	MCCC2	Mccc2	MCCC2_Mccc2
255	SETD1A	Setd1a	SETD1A_Setd1a
256	EML5	Eml5	EML5_Eml5
257	BARHL2	Barhl2	BARHL2_Barhl2
258	GALNT16	Galnt16	GALNT16_Galnt16
259	TRIM43	Trim43c	TRIM43_Trim43c
260	S100A13	S100a13	S100A13_S100a13
261	ZC3HC1	Zc3hc1	ZC3HC1_Zc3hc1
262	TYR	Tyr	TYR_Tyr
263	CFB	Cfb	CFB_Cfb
264	SNRPA1	Snrpa1	SNRPA1_Snrpa1
265	C11orf58	1110004F10Rik	C11orf58_1110004F10Rik
266	UBE2F	Ube2f	UBE2F_Ube2f
267	MYO19	Myo19	MYO19_Myo19
268	MGRN1	Mgrn1	MGRN1_Mgrn1
269	ENTPD4	Entpd4	ENTPD4_Entpd4
270	MUC15	Muc15	MUC15_Muc15
271	CD160	Cd160	CD160_Cd160
272	SPIRE2	Spire2	SPIRE2_Spire2
273	ARMC6	Armc6	ARMC6_Armc6
274	LARP1B	Larp1b	LARP1B_Larp1b
275	SH2D5	Sh2d5	SH2D5_Sh2d5
276	CREB3	Creb3	CREB3_Creb3
277	SPINK5	Spink5	SPINK5_Spink5
278	CFAP300	Cfap300	CFAP300_Cfap300
279	CYP24A1	Cyp24a1	CYP24A1_Cyp24a1
280	NLRC4	Nlrc4	NLRC4_Nlrc4
281	CASZ1	Casz1	CASZ1_Casz1
282	MRPL40	Mrpl40	MRPL40_Mrpl40
283	NXT1	Nxt1	NXT1_Nxt1
284	NDUFB3	Ndufb3	NDUFB3_Ndufb3
285	PIP4P2	Pip4p2	PIP4P2_Pip4p2
286	MLXIP	Mlxip	MLXIP_Mlxip
287	RAB40B	Rab40b	RAB40B_Rab40b
288	CNBP	Cnbp	CNBP_Cnbp
289	RAB3IP	Rab3ip	RAB3IP_Rab3ip
290	FIBIN	Fibin	FIBIN_Fibin
291	ATF6B	Atf6b	ATF6B_Atf6b
292	PALLD	Palld	PALLD_Palld
293	RBP7	Rbp7	RBP7_Rbp7
294	MTIF3	Mtif3	MTIF3_Mtif3
295	KCTD9	Kctd9	KCTD9_Kctd9
296	DKK4	Dkk4	DKK4_Dkk4
297	BICRA	Bicra	BICRA_Bicra
298	NFYC	Nfyc	NFYC_Nfyc
299	RETREG3	Retreg3	RETREG3_Retreg3
300	ALDH3A2	Aldh3a2	ALDH3A2_Aldh3a2
301	AKAP1	Akap1	AKAP1_Akap1
302	PRKRIP1	Prkrip1	PRKRIP1_Prkrip1
303	CD63	Cd63	CD63_Cd63
304	CFL2	Cfl2	CFL2_Cfl2
305	RPS6	Rps6	RPS6_Rps6
306	KRT7	Krt7	KRT7_Krt7
307	SLC6A13	Slc6a13	SLC6A13_Slc6a13
308	G6PC2	G6pc2	G6PC2_G6pc2
309	PCDHGA7	Pcdhga7	PCDHGA7_Pcdhga7
310	CWC27	Cwc27	CWC27_Cwc27
311	USP39	Usp39	USP39_Usp39
312	SYT15	Syt15	SYT15_Syt15
313	RBBP6	Rbbp6	RBBP6_Rbbp6
314	LRRC47	Lrrc47	LRRC47_Lrrc47
315	TRIM55	Trim55	TRIM55_Trim55
316	FBXO36	Fbxo36	FBXO36_Fbxo36
317	LOXL2	Loxl2	LOXL2_Loxl2
318	BMP4	Bmp4	BMP4_Bmp4
319	EFL1	Efl1	EFL1_Efl1
320	PRR3	Prr3	PRR3_Prr3
321	PTCH1	Ptch1	PTCH1_Ptch1
322	DNAJC17	Dnajc17	DNAJC17_Dnajc17
323	LIN37	Lin37	LIN37_Lin37
324	GTF2H2	Gtf2h2	GTF2H2_Gtf2h2
325	ZNF32	Zfp637	ZNF32_Zfp637
326	CD300LF	Cd300lf	CD300LF_Cd300lf
327	APBA3	Apba3	APBA3_Apba3
328	UQCC1	Uqcc1	UQCC1_Uqcc1
329	SRSF1	Srsf1	SRSF1_Srsf1
330	ADORA1	Adora1	ADORA1_Adora1
331	RRP15	Rrp15	RRP15_Rrp15
332	GSPT2	Gspt2	GSPT2_Gspt2
333	WDR62	Wdr62	WDR62_Wdr62
334	RAB43	Rab43	RAB43_Rab43
335	PRPF31	Prpf31	PRPF31_Prpf31
336	COL9A2	Col9a2	COL9A2_Col9a2
337	SLC24A1	Slc24a1	SLC24A1_Slc24a1
338	GFOD2	Gfod2	GFOD2_Gfod2
339	RNF41	Rnf41	RNF41_Rnf41
340	MARCHF2	Marchf2	MARCHF2_Marchf2
341	CIBAR2	Cibar2	CIBAR2_Cibar2
342	FOCAD	Focad	FOCAD_Focad
343	YBX3	Ybx3	YBX3_Ybx3
344	NXPE2	Nxpe2	NXPE2_Nxpe2
345	PLA2G5	Pla2g5	PLA2G5_Pla2g5
346	RSL24D1	Rsl24d1	RSL24D1_Rsl24d1
347	AQP2	Aqp2	AQP2_Aqp2
348	FAM228B	Fam228b	FAM228B_Fam228b
349	DUSP18	Dusp18	DUSP18_Dusp18
350	EIF4G1	Eif4g1	EIF4G1_Eif4g1
351	TMEM50A	Tmem50a	TMEM50A_Tmem50a
352	WDR26	Wdr26	WDR26_Wdr26
353	C12orf50	1700017N19Rik	C12orf50_1700017N19Rik
354	NUBPL	Nubpl	NUBPL_Nubpl
355	MYH4	Myh4	MYH4_Myh4
356	CNTN2	Cntn2	CNTN2_Cntn2
357	COX6B2	Cox6b2	COX6B2_Cox6b2
358	SCMH1	Scmh1	SCMH1_Scmh1
359	DKK3	Dkk3	DKK3_Dkk3
360	C6orf120	1600012H06Rik	C6orf120_1600012H06Rik
361	RGP1	Rgp1	RGP1_Rgp1
362	OSCP1	Oscp1	OSCP1_Oscp1
363	TIMM50	Timm50	TIMM50_Timm50
364	PDCD5	Pdcd5	PDCD5_Pdcd5
365	NREP	Nrep	NREP_Nrep
366	PAQR5	Paqr5	PAQR5_Paqr5
367	ACO1	Aco1	ACO1_Aco1
368	ATM	Atm	ATM_Atm
369	C9orf153	4921517D22Rik	C9orf153_4921517D22Rik
370	TSPYL4	Tspyl4	TSPYL4_Tspyl4
371	ZNF23	Zfp612	ZNF23_Zfp612
372	PKN2	Pkn2	PKN2_Pkn2
373	TPH2	Tph2	TPH2_Tph2
374	GMNC	Gmnc	GMNC_Gmnc
375	FYTTD1	Fyttd1	FYTTD1_Fyttd1
376	MS4A8	Ms4a8a	MS4A8_Ms4a8a
377	USP20	Usp20	USP20_Usp20
378	TASOR2	Tasor2	TASOR2_Tasor2
379	SOGA1	Soga1	SOGA1_Soga1
380	SUMO2	Sumo2	SUMO2_Sumo2
381	STX4	Stx4a	STX4_Stx4a
382	CDH18	Cdh18	CDH18_Cdh18
383	COPB2	Copb2	COPB2_Copb2
384	GPRC5C	Gprc5c	GPRC5C_Gprc5c
385	HS2ST1	Hs2st1	HS2ST1_Hs2st1
386	PCDHB4	Pcdhb5	PCDHB4_Pcdhb5
387	EIF3G	Eif3g	EIF3G_Eif3g
388	MRPL3	Mrpl3	MRPL3_Mrpl3
389	CD93	Cd93	CD93_Cd93
390	SPACA1	Spaca1	SPACA1_Spaca1
391	SPINT3	Spint3	SPINT3_Spint3
392	KIF13B	Kif13b	KIF13B_Kif13b
393	NUDT4	Nudt4	NUDT4_Nudt4
394	ZRANB1	Zranb1	ZRANB1_Zranb1
395	TRMU	Trmu	TRMU_Trmu
396	GLIS3	Glis3	GLIS3_Glis3
397	KCTD21	Kctd21	KCTD21_Kctd21
398	RAB15	Rab15	RAB15_Rab15
399	P2RY2	P2ry2	P2RY2_P2ry2
400	EXOSC6	Exosc6	EXOSC6_Exosc6
401	PGK2	Pgk2	PGK2_Pgk2
402	GTF3C4	Gtf3c4	GTF3C4_Gtf3c4
403	GCNT3	Gcnt3	GCNT3_Gcnt3
404	KIF11	Kif11	KIF11_Kif11
405	SNX10	Snx10	SNX10_Snx10
406	RAB27B	Rab27b	RAB27B_Rab27b
407	CZIB	Czib	CZIB_Czib
408	ARF6	Arf6	ARF6_Arf6
409	SORCS2	Sorcs2	SORCS2_Sorcs2
410	OR2M3	Olfr164	OR2M3_Olfr164
411	PSAP	Psap	PSAP_Psap
412	LORICRIN	Lor	LORICRIN_Lor
413	OR8B4	Olfr878	OR8B4_Olfr878
414	NAV2	Nav2	NAV2_Nav2
415	POU4F1	Pou4f1	POU4F1_Pou4f1
416	SNW1	Snw1	SNW1_Snw1
417	SREBF1	Srebf1	SREBF1_Srebf1
418	LIX1L	Lix1l	LIX1L_Lix1l
419	SPATA18	Spata18	SPATA18_Spata18
420	STK39	Stk39	STK39_Stk39
421	OR4C13	Olfr1257	OR4C13_Olfr1257
422	LRRC30	Lrrc30	LRRC30_Lrrc30
423	RFTN1	Rftn1	RFTN1_Rftn1
424	SLC2A4	Slc2a4	SLC2A4_Slc2a4
425	FNTB	Fntb	FNTB_Fntb
426	CCR2	Ccr2	CCR2_Ccr2
427	GKN2	Gkn2	GKN2_Gkn2
428	NME9	Nme9	NME9_Nme9
429	TMED6	Tmed6	TMED6_Tmed6
430	CALCOCO1	Calcoco1	CALCOCO1_Calcoco1
431	CDCA3	Cdca3	CDCA3_Cdca3
432	PDE4B	Pde4b	PDE4B_Pde4b
433	MAGIX	Magix	MAGIX_Magix
434	OR52H1	Olfr648	OR52H1_Olfr648
435	C8A	C8a	C8A_C8a
436	NEU4	Neu4	NEU4_Neu4
437	PNKP	Pnkp	PNKP_Pnkp
438	KCNA6	Kcna6	KCNA6_Kcna6
439	PAICS	Paics	PAICS_Paics
440	TFAP2E	Tfap2e	TFAP2E_Tfap2e
441	HIGD1C	Higd1c	HIGD1C_Higd1c
442	NEUROD4	Neurod4	NEUROD4_Neurod4
443	CCSAP	Ccsap	CCSAP_Ccsap
444	SYT5	Syt5	SYT5_Syt5
445	SLC25A5	Slc25a5	SLC25A5_Slc25a5
446	SCN4A	Scn4a	SCN4A_Scn4a
447	DSC2	Dsc2	DSC2_Dsc2
448	MLX	Mlx	MLX_Mlx
449	DNPH1	Dnph1	DNPH1_Dnph1
450	DENND4A	Dennd4a	DENND4A_Dennd4a
451	VAX2	Vax2	VAX2_Vax2
452	MDGA2	Mdga2	MDGA2_Mdga2
453	PKIB	Pkib	PKIB_Pkib
454	IPO8	Ipo8	IPO8_Ipo8
455	RNF32	Rnf32	RNF32_Rnf32
456	HOATZ	Hoatz	HOATZ_Hoatz
457	FUT2	Fut2	FUT2_Fut2
458	HOXC8	Hoxc8	HOXC8_Hoxc8
459	CNFN	Cnfn	CNFN_Cnfn
460	UBAP2L	Ubap2l	UBAP2L_Ubap2l
461	ACTG1	Actg1	ACTG1_Actg1
462	RAD21	Rad21	RAD21_Rad21
463	RPS8	Rps8	RPS8_Rps8
464	SNAP23	Snap23	SNAP23_Snap23
465	ELN	Eln	ELN_Eln
466	COL15A1	Col15a1	COL15A1_Col15a1
467	SRSF2	Srsf2	SRSF2_Srsf2
468	TUBGCP5	Tubgcp5	TUBGCP5_Tubgcp5
469	IPP	Ipp	IPP_Ipp
470	TTC33	Ttc33	TTC33_Ttc33
471	MPL	Mpl	MPL_Mpl
472	IQCB1	Iqcb1	IQCB1_Iqcb1
473	STK25	Stk25	STK25_Stk25
474	MGST3	Mgst3	MGST3_Mgst3
475	TNFAIP2	Tnfaip2	TNFAIP2_Tnfaip2
476	C9orf40	D030056L22Rik	C9orf40_D030056L22Rik
477	THAP12	Thap12	THAP12_Thap12
478	PDHB	Pdhb	PDHB_Pdhb
479	SNX22	Snx22	SNX22_Snx22
480	PTDSS2	Ptdss2	PTDSS2_Ptdss2
481	SRGAP1	Srgap1	SRGAP1_Srgap1
482	GPR35	Gpr35	GPR35_Gpr35
483	GRTP1	Grtp1	GRTP1_Grtp1
484	AMMECR1L	Ammecr1l	AMMECR1L_Ammecr1l
485	TEDC1	Tedc1	TEDC1_Tedc1
486	TNNI3K	Tnni3k	TNNI3K_Tnni3k
487	WNK2	Wnk2	WNK2_Wnk2
488	DIO2	Dio2	DIO2_Dio2
489	KIF23	Kif23	KIF23_Kif23
490	OR8J3	Olfr1045	OR8J3_Olfr1045
491	CFAP161	Cfap161	CFAP161_Cfap161
492	MFN2	Mfn2	MFN2_Mfn2
493	PRDX1	Prdx1	PRDX1_Prdx1
494	GPALPP1	Gpalpp1	GPALPP1_Gpalpp1
495	APOL2	Apol8	APOL2_Apol8
496	SYP	Syp	SYP_Syp
497	MAX	Max	MAX_Max
498	PTPRJ	Ptprj	PTPRJ_Ptprj
499	PDCL3	Pdcl3	PDCL3_Pdcl3
500	GUCA1B	Guca1b	GUCA1B_Guca1b
501	GPR158	Gpr158	GPR158_Gpr158
502	MAGOHB	Magohb	MAGOHB_Magohb
503	FHDC1	Fhdc1	FHDC1_Fhdc1
504	ANKDD1A	Ankdd1a	ANKDD1A_Ankdd1a
505	RNF7	Rnf7	RNF7_Rnf7
506	PIGA	Piga	PIGA_Piga
507	TANGO2	Tango2	TANGO2_Tango2
508	NMUR1	Nmur1	NMUR1_Nmur1
509	HBQ1	Hbq1b	HBQ1_Hbq1b
510	DUSP28	Dusp28	DUSP28_Dusp28
511	AP3M1	Ap3m1	AP3M1_Ap3m1
512	PPIC	Ppic	PPIC_Ppic
513	NFE2L2	Nfe2l2	NFE2L2_Nfe2l2
514	PDXK	Pdxk	PDXK_Pdxk
515	STK40	Stk40	STK40_Stk40
516	DAPL1	Dapl1	DAPL1_Dapl1
517	KDM2A	Kdm2a	KDM2A_Kdm2a
518	CFAP69	Cfap69	CFAP69_Cfap69
519	TBC1D32	Tbc1d32	TBC1D32_Tbc1d32
520	C10orf88	2310057M21Rik	C10orf88_2310057M21Rik
521	LRRC58	Lrrc58	LRRC58_Lrrc58
522	SAV1	Sav1	SAV1_Sav1
523	OR9Q2	Olfr1497	OR9Q2_Olfr1497
524	ADGRG5	Adgrg5	ADGRG5_Adgrg5
525	TENM4	Tenm4	TENM4_Tenm4
526	IZUMO2	Izumo2	IZUMO2_Izumo2
527	HTR3A	Htr3a	HTR3A_Htr3a
528	IL3	Il3	IL3_Il3
529	LIPC	Lipc	LIPC_Lipc
530	POU6F2	Pou6f2	POU6F2_Pou6f2
531	LLCFC1	Llcfc1	LLCFC1_Llcfc1
532	SCNN1A	Scnn1a	SCNN1A_Scnn1a
533	EGR2	Egr2	EGR2_Egr2
534	TFRC	Tfrc	TFRC_Tfrc
535	UBL3	Ubl3	UBL3_Ubl3
536	TDRD5	Tdrd5	TDRD5_Tdrd5
537	TDP2	Tdp2	TDP2_Tdp2
538	CCDC13	Ccdc13	CCDC13_Ccdc13
539	WDFY4	Wdfy4	WDFY4_Wdfy4
540	GIGYF1	Gigyf1	GIGYF1_Gigyf1
541	NUP210L	Nup210l	NUP210L_Nup210l
